what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jst.ws.jaxws.dom.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.ui",1380207187186
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1380207188582
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1380207189875
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1380207190784
opened,view,org.eclipse.wb.core,1.1.0.r37x201109091012,"org.eclipse.wb.core.StructureView",1380207199831
activated,view,org.eclipse.wb.core,1.1.0.r37x201109091012,"org.eclipse.wb.core.StructureView",1380207199843
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.views.showView",1380207199843
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1380207201534
closed,view,org.eclipse.wb.core,1.1.0.r37x201109091012,"org.eclipse.wb.core.StructureView",1380207201536
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.300.v201108240515,"org.eclipse.wst.ws.service.policy.ui",1380207238200
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1380207238201
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1380207238211
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1380207238212
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1380207268376
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1380207283016
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1380207283026
started,bundle,org.eclipse.wst.jsdt.debug.rhino.ui,1.0.0.v201103232243,"org.eclipse.wst.jsdt.debug.rhino.ui",1380207299765
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1380207402057
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1380207411996
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1380207415031
