what,kind,bundleId,bundleVersion,description,time
java.specification.version,sysinfo,,,"1.7",1382451042936
java.vendor,sysinfo,,,"Oracle Corporation",1382451042936
java.version,sysinfo,,,"1.7.0",1382451042936
java.vm.info,sysinfo,,,"mixed mode",1382451042936
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1382451042936
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1382451042936
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1382451042936
java.vm.specification.version,sysinfo,,,"1.7",1382451042936
java.vm.vendor,sysinfo,,,"Oracle Corporation",1382451042936
java.vm.version,sysinfo,,,"21.0-b17",1382451042936
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1382451042950
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1382451071626
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382451076037
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382451076932
started,bundle,org.eclipse.wb.core.lib,1.1.0.r37x201109091012,"org.eclipse.wb.core.lib",1382451081703
started,bundle,org.eclipse.wb.core,1.1.0.r37x201109091012,"org.eclipse.wb.core",1382451082267
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1382451082633
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1382451086619
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1382451095561
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1382451095860
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382451096790
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382451097003
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382451127660
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382451212261
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382451213126
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382451216795
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1382451238893
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382451243765
