what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1382454704387
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1382454704493
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1382454704544
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382454704898
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.properties",1382454709179
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382454709214
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382454713668
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.generate.javadoc",1382454721147
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382454721180
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1382454722559
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1382454733102
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1382454749058
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382454774367
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382454797472
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1382454806801
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1382454819927
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1382454822340
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1382454825762
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382454841230
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382454915937
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382454929071
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382454950199
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382454960333
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382455057879
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1382455072918
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1382455084038
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1382455085003
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1382455089183
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1382455092312
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1382455095431
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382455134666
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382455197297
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382455222240
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382455370211
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.ContentOutline",1382455370438
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1382455373746
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1382455376381
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1382455379530
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382455384137
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382455385535
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382455385568
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382455387203
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1382455388579
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1382455391961
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1382455393058
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1382455397061
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1382455407295
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382455412472
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382455412677
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1382455415702
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382455422127
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382455422370
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1382455426513
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1382455427888
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1382455429267
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1382455440631
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382455445455
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382455463791
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1382455507186
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1382455519039
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1382455551521
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1382455566647
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1382455578107
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1382455592508
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1382455781244
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382455827184
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382455868480
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382455924474
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382455936699
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382455955403
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382455956269
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382455956739
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382455998768
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382456015923
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382456017085
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382456018404
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382456022853
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1382456057301
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1382456061713
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1382456098265
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1382456102724
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382456147178
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382456161781
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382456180672
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382456181353
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382456181851
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382456185696
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1382456215526
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.ContentOutline",1382456219454
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1382456229986
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382456232301
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382456233791
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.100.20110804-1717,"org.eclipse.m2e.logback.configuration",1382456237083
stopped,bundle,org.eclipse.m2e.discovery,1.0.100.20110804-1717,"org.eclipse.m2e.discovery",1382456237141
stopped,bundle,org.eclipse.m2e.refactoring,1.0.100.20110804-1717,"org.eclipse.m2e.refactoring",1382456237142
stopped,bundle,org.eclipse.m2e.editor,1.0.100.20110804-1717,"org.eclipse.m2e.editor",1382456237174
stopped,bundle,org.eclipse.m2e.editor.xml,1.0.100.20110804-1717,"org.eclipse.m2e.editor.xml",1382456237202
stopped,bundle,org.eclipse.m2e.jdt,1.0.100.20110804-1717,"org.eclipse.m2e.jdt",1382456237247
stopped,bundle,org.eclipse.m2e.launching,1.0.100.20110804-1717,"org.eclipse.m2e.launching",1382456237249
stopped,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1382456237249
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1382547869957
started,bundle,org.eclipse.osgi,3.7.1.R37x_v20110808-1106,"org.eclipse.osgi",1382547869959
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110502-1955,"org.eclipse.equinox.simpleconfigurator",1382547869960
started,bundle,com.android.ide.eclipse.adt,22.0.5.v201307292155--757759,"com.android.ide.eclipse.adt",1382547870050
started,bundle,com.android.ide.eclipse.base,22.0.5.v201307292155--757759,"com.android.ide.eclipse.base",1382547870053
started,bundle,com.ibm.icu,4.4.2.v20110208,"com.ibm.icu",1382547870059
started,bundle,com.instantiations.eclipse.debug,6.0.0.r37x201109091114,"com.instantiations.eclipse.debug",1382547870060
started,bundle,com.instantiations.eclipse.startup,6.0.0.r37x201109091114,"com.instantiations.eclipse.startup",1382547870060
started,bundle,com.instantiations.eclipse.util,6.0.0.r37x201109091114,"com.instantiations.eclipse.util",1382547870061
started,bundle,org.eclipse.cdt.codan.checkers,1.0.0.201109151620,"org.eclipse.cdt.codan.checkers",1382547870069
started,bundle,org.eclipse.cdt.codan.core,2.0.0.201109151620,"org.eclipse.cdt.codan.core",1382547870073
started,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201109151620,"org.eclipse.cdt.codan.core.cxx",1382547870074
started,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201109151620,"org.eclipse.cdt.codan.ui.cxx",1382547870074
started,bundle,org.eclipse.cdt.core,5.3.1.201109151620,"org.eclipse.cdt.core",1382547870082
started,bundle,org.eclipse.cdt.make.core,7.1.1.201109151620,"org.eclipse.cdt.make.core",1382547870088
